,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,6.0,69.0,"{1, 3, 4, 6, 8, 9, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 26, 28, 29, 30, 33, 34, 37, 38, 39, 40, 41, 44, 45, 47, 49, 50, 51, 54, 56, 57, 59, 60, 61, 62, 63, 64, 66, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 97, 98}",54.0,"{1, 3, 6, 9, 14, 15, 17, 18, 19, 21, 22, 24, 26, 28, 30, 33, 34, 37, 38, 39, 40, 41, 44, 47, 49, 50, 51, 56, 57, 59, 60, 61, 63, 64, 66, 68, 70, 71, 72, 73, 74, 75, 77, 79, 80, 81, 85, 86, 88, 90, 92, 93, 95, 97}",47.0,"{1, 3, 6, 9, 15, 17, 18, 19, 21, 22, 26, 28, 30, 33, 34, 37, 38, 40, 41, 44, 47, 49, 50, 51, 56, 57, 59, 60, 61, 63, 64, 68, 70, 71, 73, 74, 75, 77, 79, 80, 81, 85, 88, 92, 93, 95, 97}",37.0,"{1, 3, 6, 15, 17, 19, 22, 30, 33, 34, 37, 38, 40, 41, 44, 49, 50, 51, 57, 59, 60, 61, 63, 64, 68, 71, 73, 74, 75, 77, 79, 80, 81, 88, 92, 95, 97}",27.0,"{1, 3, 6, 15, 17, 22, 30, 34, 37, 38, 40, 41, 44, 49, 50, 51, 57, 63, 64, 68, 71, 74, 75, 80, 88, 95, 97}",13.0,"{1, 34, 3, 37, 38, 40, 15, 80, 49, 51, 88, 57, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,74.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 91, 92, 94, 95, 97}",65.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 27, 29, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 57, 59, 60, 61, 62, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 81, 82, 84, 85, 88, 91, 92, 94, 97}",55.0,"{1, 2, 4, 5, 6, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 27, 29, 32, 33, 34, 37, 38, 39, 40, 42, 45, 49, 50, 51, 52, 53, 54, 55, 57, 59, 61, 66, 68, 69, 72, 76, 77, 78, 79, 81, 82, 84, 85, 88, 91, 92, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
